medicine_name,brand_name,generic_name,country,status,regulation_type,authority,reason,alternatives,traveller_advice,source,last_updated,document
Ibuprofen,Advil / Brufen,Ibuprofen,India,Allowed,OTC,CDSCO,"No restriction, common NSAID",Paracetamol,Safe to carry in personal-use quantities,CDSCO Guidelines,2026-07-20,"Medicine: Ibuprofen. Brand: Advil / Brufen. Generic: Ibuprofen. Country: India. Status: Allowed. Regulation Type: OTC. Authority: CDSCO. Reason: No restriction, common NSAID. Alternatives: Paracetamol. Traveller Advice: Safe to carry in personal-use quantities."
Ibuprofen,Advil / Brufen,Ibuprofen,USA,Allowed,OTC,FDA / DEA,"No restriction, common NSAID",Paracetamol,Safe to carry in personal-use quantities,FDA / DEA Guidelines,2026-07-20,"Medicine: Ibuprofen. Brand: Advil / Brufen. Generic: Ibuprofen. Country: USA. Status: Allowed. Regulation Type: OTC. Authority: FDA / DEA. Reason: No restriction, common NSAID. Alternatives: Paracetamol. Traveller Advice: Safe to carry in personal-use quantities."
Ibuprofen,Advil / Brufen,Ibuprofen,UK,Allowed,OTC,MHRA / Home Office,"No restriction, common NSAID",Paracetamol,Safe to carry in personal-use quantities,MHRA / Home Office Guidelines,2026-07-20,"Medicine: Ibuprofen. Brand: Advil / Brufen. Generic: Ibuprofen. Country: UK. Status: Allowed. Regulation Type: OTC. Authority: MHRA / Home Office. Reason: No restriction, common NSAID. Alternatives: Paracetamol. Traveller Advice: Safe to carry in personal-use quantities."
Ibuprofen,Advil / Brufen,Ibuprofen,Japan,Allowed,OTC,MHLW,"No restriction, common NSAID",Paracetamol,Safe to carry in personal-use quantities,MHLW Guidelines,2026-07-20,"Medicine: Ibuprofen. Brand: Advil / Brufen. Generic: Ibuprofen. Country: Japan. Status: Allowed. Regulation Type: OTC. Authority: MHLW. Reason: No restriction, common NSAID. Alternatives: Paracetamol. Traveller Advice: Safe to carry in personal-use quantities."
Ibuprofen,Advil / Brufen,Ibuprofen,UAE,Allowed,OTC,MOHAP,"No restriction, common NSAID",Paracetamol,Safe to carry in personal-use quantities,MOHAP Guidelines,2026-07-20,"Medicine: Ibuprofen. Brand: Advil / Brufen. Generic: Ibuprofen. Country: UAE. Status: Allowed. Regulation Type: OTC. Authority: MOHAP. Reason: No restriction, common NSAID. Alternatives: Paracetamol. Traveller Advice: Safe to carry in personal-use quantities."
Ibuprofen,Advil / Brufen,Ibuprofen,Singapore,Allowed,OTC,HSA,"No restriction, common NSAID",Paracetamol,Safe to carry in personal-use quantities,HSA Guidelines,2026-07-20,"Medicine: Ibuprofen. Brand: Advil / Brufen. Generic: Ibuprofen. Country: Singapore. Status: Allowed. Regulation Type: OTC. Authority: HSA. Reason: No restriction, common NSAID. Alternatives: Paracetamol. Traveller Advice: Safe to carry in personal-use quantities."
Ibuprofen,Advil / Brufen,Ibuprofen,Australia,Allowed,OTC,TGA,"No restriction, common NSAID",Paracetamol,Safe to carry in personal-use quantities,TGA Guidelines,2026-07-20,"Medicine: Ibuprofen. Brand: Advil / Brufen. Generic: Ibuprofen. Country: Australia. Status: Allowed. Regulation Type: OTC. Authority: TGA. Reason: No restriction, common NSAID. Alternatives: Paracetamol. Traveller Advice: Safe to carry in personal-use quantities."
Ibuprofen,Advil / Brufen,Ibuprofen,Canada,Allowed,OTC,Health Canada,"No restriction, common NSAID",Paracetamol,Safe to carry in personal-use quantities,Health Canada Guidelines,2026-07-20,"Medicine: Ibuprofen. Brand: Advil / Brufen. Generic: Ibuprofen. Country: Canada. Status: Allowed. Regulation Type: OTC. Authority: Health Canada. Reason: No restriction, common NSAID. Alternatives: Paracetamol. Traveller Advice: Safe to carry in personal-use quantities."
Ibuprofen,Advil / Brufen,Ibuprofen,Germany,Allowed,OTC,BfArM,"No restriction, common NSAID",Paracetamol,Safe to carry in personal-use quantities,BfArM Guidelines,2026-07-20,"Medicine: Ibuprofen. Brand: Advil / Brufen. Generic: Ibuprofen. Country: Germany. Status: Allowed. Regulation Type: OTC. Authority: BfArM. Reason: No restriction, common NSAID. Alternatives: Paracetamol. Traveller Advice: Safe to carry in personal-use quantities."
Ibuprofen,Advil / Brufen,Ibuprofen,France,Allowed,OTC,ANSM,"No restriction, common NSAID",Paracetamol,Safe to carry in personal-use quantities,ANSM Guidelines,2026-07-20,"Medicine: Ibuprofen. Brand: Advil / Brufen. Generic: Ibuprofen. Country: France. Status: Allowed. Regulation Type: OTC. Authority: ANSM. Reason: No restriction, common NSAID. Alternatives: Paracetamol. Traveller Advice: Safe to carry in personal-use quantities."
Aspirin,Disprin / Ecosprin,Acetylsalicylic Acid,India,Allowed,OTC,CDSCO,"No restriction, common analgesic",Paracetamol,Safe to carry in personal-use quantities,CDSCO Guidelines,2026-07-20,"Medicine: Aspirin. Brand: Disprin / Ecosprin. Generic: Acetylsalicylic Acid. Country: India. Status: Allowed. Regulation Type: OTC. Authority: CDSCO. Reason: No restriction, common analgesic. Alternatives: Paracetamol. Traveller Advice: Safe to carry in personal-use quantities."
Aspirin,Disprin / Ecosprin,Acetylsalicylic Acid,USA,Allowed,OTC,FDA / DEA,"No restriction, common analgesic",Paracetamol,Safe to carry in personal-use quantities,FDA / DEA Guidelines,2026-07-20,"Medicine: Aspirin. Brand: Disprin / Ecosprin. Generic: Acetylsalicylic Acid. Country: USA. Status: Allowed. Regulation Type: OTC. Authority: FDA / DEA. Reason: No restriction, common analgesic. Alternatives: Paracetamol. Traveller Advice: Safe to carry in personal-use quantities."
Aspirin,Disprin / Ecosprin,Acetylsalicylic Acid,UK,Allowed,OTC,MHRA / Home Office,"No restriction, common analgesic",Paracetamol,Safe to carry in personal-use quantities,MHRA / Home Office Guidelines,2026-07-20,"Medicine: Aspirin. Brand: Disprin / Ecosprin. Generic: Acetylsalicylic Acid. Country: UK. Status: Allowed. Regulation Type: OTC. Authority: MHRA / Home Office. Reason: No restriction, common analgesic. Alternatives: Paracetamol. Traveller Advice: Safe to carry in personal-use quantities."
Aspirin,Disprin / Ecosprin,Acetylsalicylic Acid,Japan,Allowed,OTC,MHLW,"No restriction, common analgesic",Paracetamol,Safe to carry in personal-use quantities,MHLW Guidelines,2026-07-20,"Medicine: Aspirin. Brand: Disprin / Ecosprin. Generic: Acetylsalicylic Acid. Country: Japan. Status: Allowed. Regulation Type: OTC. Authority: MHLW. Reason: No restriction, common analgesic. Alternatives: Paracetamol. Traveller Advice: Safe to carry in personal-use quantities."
Aspirin,Disprin / Ecosprin,Acetylsalicylic Acid,UAE,Allowed,OTC,MOHAP,"No restriction, common analgesic",Paracetamol,Safe to carry in personal-use quantities,MOHAP Guidelines,2026-07-20,"Medicine: Aspirin. Brand: Disprin / Ecosprin. Generic: Acetylsalicylic Acid. Country: UAE. Status: Allowed. Regulation Type: OTC. Authority: MOHAP. Reason: No restriction, common analgesic. Alternatives: Paracetamol. Traveller Advice: Safe to carry in personal-use quantities."
Aspirin,Disprin / Ecosprin,Acetylsalicylic Acid,Singapore,Allowed,OTC,HSA,"No restriction, common analgesic",Paracetamol,Safe to carry in personal-use quantities,HSA Guidelines,2026-07-20,"Medicine: Aspirin. Brand: Disprin / Ecosprin. Generic: Acetylsalicylic Acid. Country: Singapore. Status: Allowed. Regulation Type: OTC. Authority: HSA. Reason: No restriction, common analgesic. Alternatives: Paracetamol. Traveller Advice: Safe to carry in personal-use quantities."
Aspirin,Disprin / Ecosprin,Acetylsalicylic Acid,Australia,Allowed,OTC,TGA,"No restriction, common analgesic",Paracetamol,Safe to carry in personal-use quantities,TGA Guidelines,2026-07-20,"Medicine: Aspirin. Brand: Disprin / Ecosprin. Generic: Acetylsalicylic Acid. Country: Australia. Status: Allowed. Regulation Type: OTC. Authority: TGA. Reason: No restriction, common analgesic. Alternatives: Paracetamol. Traveller Advice: Safe to carry in personal-use quantities."
Aspirin,Disprin / Ecosprin,Acetylsalicylic Acid,Canada,Allowed,OTC,Health Canada,"No restriction, common analgesic",Paracetamol,Safe to carry in personal-use quantities,Health Canada Guidelines,2026-07-20,"Medicine: Aspirin. Brand: Disprin / Ecosprin. Generic: Acetylsalicylic Acid. Country: Canada. Status: Allowed. Regulation Type: OTC. Authority: Health Canada. Reason: No restriction, common analgesic. Alternatives: Paracetamol. Traveller Advice: Safe to carry in personal-use quantities."
Aspirin,Disprin / Ecosprin,Acetylsalicylic Acid,Germany,Allowed,OTC,BfArM,"No restriction, common analgesic",Paracetamol,Safe to carry in personal-use quantities,BfArM Guidelines,2026-07-20,"Medicine: Aspirin. Brand: Disprin / Ecosprin. Generic: Acetylsalicylic Acid. Country: Germany. Status: Allowed. Regulation Type: OTC. Authority: BfArM. Reason: No restriction, common analgesic. Alternatives: Paracetamol. Traveller Advice: Safe to carry in personal-use quantities."
Aspirin,Disprin / Ecosprin,Acetylsalicylic Acid,France,Allowed,OTC,ANSM,"No restriction, common analgesic",Paracetamol,Safe to carry in personal-use quantities,ANSM Guidelines,2026-07-20,"Medicine: Aspirin. Brand: Disprin / Ecosprin. Generic: Acetylsalicylic Acid. Country: France. Status: Allowed. Regulation Type: OTC. Authority: ANSM. Reason: No restriction, common analgesic. Alternatives: Paracetamol. Traveller Advice: Safe to carry in personal-use quantities."
Codeine,Codistar / Codeine Phosphate,Codeine Phosphate,India,Restricted,Controlled Substance,CDSCO,Opioid; classified as a controlled narcotic in most jurisdictions,"Ibuprofen, Paracetamol",Carry a valid prescription and declare at customs,CDSCO Guidelines,2026-07-20,"Medicine: Codeine. Brand: Codistar / Codeine Phosphate. Generic: Codeine Phosphate. Country: India. Status: Restricted. Regulation Type: Controlled Substance. Authority: CDSCO. Reason: Opioid; classified as a controlled narcotic in most jurisdictions. Alternatives: Ibuprofen, Paracetamol. Traveller Advice: Carry a valid prescription and declare at customs."
Codeine,Codistar / Codeine Phosphate,Codeine Phosphate,USA,Restricted,Controlled Substance,FDA / DEA,Opioid; classified as a controlled narcotic in most jurisdictions,"Ibuprofen, Paracetamol",Carry a valid prescription and declare at customs,FDA / DEA Guidelines,2026-07-20,"Medicine: Codeine. Brand: Codistar / Codeine Phosphate. Generic: Codeine Phosphate. Country: USA. Status: Restricted. Regulation Type: Controlled Substance. Authority: FDA / DEA. Reason: Opioid; classified as a controlled narcotic in most jurisdictions. Alternatives: Ibuprofen, Paracetamol. Traveller Advice: Carry a valid prescription and declare at customs."
Codeine,Codistar / Codeine Phosphate,Codeine Phosphate,UK,Allowed,OTC (low-dose combinations),MHRA / Home Office,Low-dose codeine combinations sold OTC; higher strength needs prescription,"Ibuprofen, Paracetamol",Carry prescription for higher-strength packs,MHRA / Home Office Guidelines,2026-07-20,"Medicine: Codeine. Brand: Codistar / Codeine Phosphate. Generic: Codeine Phosphate. Country: UK. Status: Allowed. Regulation Type: OTC (low-dose combinations). Authority: MHRA / Home Office. Reason: Low-dose codeine combinations sold OTC; higher strength needs prescription. Alternatives: Ibuprofen, Paracetamol. Traveller Advice: Carry prescription for higher-strength packs."
Codeine,Codistar / Codeine Phosphate,Codeine Phosphate,Japan,Restricted,Controlled Substance,MHLW,Narcotic and Psychotropic Control Law restricts import,"Ibuprofen, Paracetamol",Carry doctor's prescription and consider a Yakkan Shoumei import certificate,MHLW Guidelines,2026-07-20,"Medicine: Codeine. Brand: Codistar / Codeine Phosphate. Generic: Codeine Phosphate. Country: Japan. Status: Restricted. Regulation Type: Controlled Substance. Authority: MHLW. Reason: Narcotic and Psychotropic Control Law restricts import. Alternatives: Ibuprofen, Paracetamol. Traveller Advice: Carry doctor's prescription and consider a Yakkan Shoumei import certificate."
Codeine,Codistar / Codeine Phosphate,Codeine Phosphate,UAE,Banned,Banned,MOHAP,Zero-tolerance narcotics policy; even trace amounts can lead to prosecution,"Ibuprofen, Paracetamol",Do not carry without prior import permit from MOHAP,MOHAP Guidelines,2026-07-20,"Medicine: Codeine. Brand: Codistar / Codeine Phosphate. Generic: Codeine Phosphate. Country: UAE. Status: Banned. Regulation Type: Banned. Authority: MOHAP. Reason: Zero-tolerance narcotics policy; even trace amounts can lead to prosecution. Alternatives: Ibuprofen, Paracetamol. Traveller Advice: Do not carry without prior import permit from MOHAP."
Codeine,Codistar / Codeine Phosphate,Codeine Phosphate,Singapore,Restricted,Controlled Substance,HSA,Controlled under Misuse of Drugs Act,"Ibuprofen, Paracetamol",Carry prescription; quantity limits apply,HSA Guidelines,2026-07-20,"Medicine: Codeine. Brand: Codistar / Codeine Phosphate. Generic: Codeine Phosphate. Country: Singapore. Status: Restricted. Regulation Type: Controlled Substance. Authority: HSA. Reason: Controlled under Misuse of Drugs Act. Alternatives: Ibuprofen, Paracetamol. Traveller Advice: Carry prescription; quantity limits apply."
Codeine,Codistar / Codeine Phosphate,Codeine Phosphate,Australia,Restricted,Controlled Substance,TGA,Opioid; classified as a controlled narcotic in most jurisdictions,"Ibuprofen, Paracetamol",Carry a valid prescription and declare at customs,TGA Guidelines,2026-07-20,"Medicine: Codeine. Brand: Codistar / Codeine Phosphate. Generic: Codeine Phosphate. Country: Australia. Status: Restricted. Regulation Type: Controlled Substance. Authority: TGA. Reason: Opioid; classified as a controlled narcotic in most jurisdictions. Alternatives: Ibuprofen, Paracetamol. Traveller Advice: Carry a valid prescription and declare at customs."
Codeine,Codistar / Codeine Phosphate,Codeine Phosphate,Canada,Restricted,Controlled Substance,Health Canada,Opioid; classified as a controlled narcotic in most jurisdictions,"Ibuprofen, Paracetamol",Carry a valid prescription and declare at customs,Health Canada Guidelines,2026-07-20,"Medicine: Codeine. Brand: Codistar / Codeine Phosphate. Generic: Codeine Phosphate. Country: Canada. Status: Restricted. Regulation Type: Controlled Substance. Authority: Health Canada. Reason: Opioid; classified as a controlled narcotic in most jurisdictions. Alternatives: Ibuprofen, Paracetamol. Traveller Advice: Carry a valid prescription and declare at customs."
Codeine,Codistar / Codeine Phosphate,Codeine Phosphate,Germany,Restricted,Controlled Substance,BfArM,Opioid; classified as a controlled narcotic in most jurisdictions,"Ibuprofen, Paracetamol",Carry a valid prescription and declare at customs,BfArM Guidelines,2026-07-20,"Medicine: Codeine. Brand: Codistar / Codeine Phosphate. Generic: Codeine Phosphate. Country: Germany. Status: Restricted. Regulation Type: Controlled Substance. Authority: BfArM. Reason: Opioid; classified as a controlled narcotic in most jurisdictions. Alternatives: Ibuprofen, Paracetamol. Traveller Advice: Carry a valid prescription and declare at customs."
Codeine,Codistar / Codeine Phosphate,Codeine Phosphate,France,Restricted,Controlled Substance,ANSM,Opioid; classified as a controlled narcotic in most jurisdictions,"Ibuprofen, Paracetamol",Carry a valid prescription and declare at customs,ANSM Guidelines,2026-07-20,"Medicine: Codeine. Brand: Codistar / Codeine Phosphate. Generic: Codeine Phosphate. Country: France. Status: Restricted. Regulation Type: Controlled Substance. Authority: ANSM. Reason: Opioid; classified as a controlled narcotic in most jurisdictions. Alternatives: Ibuprofen, Paracetamol. Traveller Advice: Carry a valid prescription and declare at customs."
Tramadol,Ultram / Contramal,Tramadol Hydrochloride,India,Restricted,Controlled Substance,CDSCO,"Opioid-like analgesic, controlled in many countries","Paracetamol, Ibuprofen",Carry prescription; check import limits,CDSCO Guidelines,2026-07-20,"Medicine: Tramadol. Brand: Ultram / Contramal. Generic: Tramadol Hydrochloride. Country: India. Status: Restricted. Regulation Type: Controlled Substance. Authority: CDSCO. Reason: Opioid-like analgesic, controlled in many countries. Alternatives: Paracetamol, Ibuprofen. Traveller Advice: Carry prescription; check import limits."
Tramadol,Ultram / Contramal,Tramadol Hydrochloride,USA,Restricted,Controlled Substance,FDA / DEA,"Opioid-like analgesic, controlled in many countries","Paracetamol, Ibuprofen",Carry prescription; check import limits,FDA / DEA Guidelines,2026-07-20,"Medicine: Tramadol. Brand: Ultram / Contramal. Generic: Tramadol Hydrochloride. Country: USA. Status: Restricted. Regulation Type: Controlled Substance. Authority: FDA / DEA. Reason: Opioid-like analgesic, controlled in many countries. Alternatives: Paracetamol, Ibuprofen. Traveller Advice: Carry prescription; check import limits."
Tramadol,Ultram / Contramal,Tramadol Hydrochloride,UK,Restricted,Controlled Substance,MHRA / Home Office,"Opioid-like analgesic, controlled in many countries","Paracetamol, Ibuprofen",Carry prescription; check import limits,MHRA / Home Office Guidelines,2026-07-20,"Medicine: Tramadol. Brand: Ultram / Contramal. Generic: Tramadol Hydrochloride. Country: UK. Status: Restricted. Regulation Type: Controlled Substance. Authority: MHRA / Home Office. Reason: Opioid-like analgesic, controlled in many countries. Alternatives: Paracetamol, Ibuprofen. Traveller Advice: Carry prescription; check import limits."
Tramadol,Ultram / Contramal,Tramadol Hydrochloride,Japan,Restricted,Controlled Substance,MHLW,Controlled under narcotics regulation,"Paracetamol, Ibuprofen",Carry prescription and consider Yakkan Shoumei,MHLW Guidelines,2026-07-20,"Medicine: Tramadol. Brand: Ultram / Contramal. Generic: Tramadol Hydrochloride. Country: Japan. Status: Restricted. Regulation Type: Controlled Substance. Authority: MHLW. Reason: Controlled under narcotics regulation. Alternatives: Paracetamol, Ibuprofen. Traveller Advice: Carry prescription and consider Yakkan Shoumei."
Tramadol,Ultram / Contramal,Tramadol Hydrochloride,UAE,Banned,Banned,MOHAP,Considered a controlled narcotic; entry without permit is a criminal offence,"Paracetamol, Ibuprofen",Obtain MOHAP import permit before travel,MOHAP Guidelines,2026-07-20,"Medicine: Tramadol. Brand: Ultram / Contramal. Generic: Tramadol Hydrochloride. Country: UAE. Status: Banned. Regulation Type: Banned. Authority: MOHAP. Reason: Considered a controlled narcotic; entry without permit is a criminal offence. Alternatives: Paracetamol, Ibuprofen. Traveller Advice: Obtain MOHAP import permit before travel."
Tramadol,Ultram / Contramal,Tramadol Hydrochloride,Singapore,Restricted,Controlled Substance,HSA,"Opioid-like analgesic, controlled in many countries","Paracetamol, Ibuprofen",Carry prescription; check import limits,HSA Guidelines,2026-07-20,"Medicine: Tramadol. Brand: Ultram / Contramal. Generic: Tramadol Hydrochloride. Country: Singapore. Status: Restricted. Regulation Type: Controlled Substance. Authority: HSA. Reason: Opioid-like analgesic, controlled in many countries. Alternatives: Paracetamol, Ibuprofen. Traveller Advice: Carry prescription; check import limits."
Tramadol,Ultram / Contramal,Tramadol Hydrochloride,Australia,Restricted,Controlled Substance,TGA,"Opioid-like analgesic, controlled in many countries","Paracetamol, Ibuprofen",Carry prescription; check import limits,TGA Guidelines,2026-07-20,"Medicine: Tramadol. Brand: Ultram / Contramal. Generic: Tramadol Hydrochloride. Country: Australia. Status: Restricted. Regulation Type: Controlled Substance. Authority: TGA. Reason: Opioid-like analgesic, controlled in many countries. Alternatives: Paracetamol, Ibuprofen. Traveller Advice: Carry prescription; check import limits."
Tramadol,Ultram / Contramal,Tramadol Hydrochloride,Canada,Restricted,Controlled Substance,Health Canada,"Opioid-like analgesic, controlled in many countries","Paracetamol, Ibuprofen",Carry prescription; check import limits,Health Canada Guidelines,2026-07-20,"Medicine: Tramadol. Brand: Ultram / Contramal. Generic: Tramadol Hydrochloride. Country: Canada. Status: Restricted. Regulation Type: Controlled Substance. Authority: Health Canada. Reason: Opioid-like analgesic, controlled in many countries. Alternatives: Paracetamol, Ibuprofen. Traveller Advice: Carry prescription; check import limits."
Tramadol,Ultram / Contramal,Tramadol Hydrochloride,Germany,Restricted,Controlled Substance,BfArM,"Opioid-like analgesic, controlled in many countries","Paracetamol, Ibuprofen",Carry prescription; check import limits,BfArM Guidelines,2026-07-20,"Medicine: Tramadol. Brand: Ultram / Contramal. Generic: Tramadol Hydrochloride. Country: Germany. Status: Restricted. Regulation Type: Controlled Substance. Authority: BfArM. Reason: Opioid-like analgesic, controlled in many countries. Alternatives: Paracetamol, Ibuprofen. Traveller Advice: Carry prescription; check import limits."
Tramadol,Ultram / Contramal,Tramadol Hydrochloride,France,Restricted,Controlled Substance,ANSM,"Opioid-like analgesic, controlled in many countries","Paracetamol, Ibuprofen",Carry prescription; check import limits,ANSM Guidelines,2026-07-20,"Medicine: Tramadol. Brand: Ultram / Contramal. Generic: Tramadol Hydrochloride. Country: France. Status: Restricted. Regulation Type: Controlled Substance. Authority: ANSM. Reason: Opioid-like analgesic, controlled in many countries. Alternatives: Paracetamol, Ibuprofen. Traveller Advice: Carry prescription; check import limits."
Morphine,MST Continus,Morphine Sulphate,India,Restricted,Controlled Substance,CDSCO,"Strong opioid, internationally controlled narcotic",Paracetamol (for mild pain),Carry prescription and medical certificate; declare at customs,CDSCO Guidelines,2026-07-20,"Medicine: Morphine. Brand: MST Continus. Generic: Morphine Sulphate. Country: India. Status: Restricted. Regulation Type: Controlled Substance. Authority: CDSCO. Reason: Strong opioid, internationally controlled narcotic. Alternatives: Paracetamol (for mild pain). Traveller Advice: Carry prescription and medical certificate; declare at customs."
Morphine,MST Continus,Morphine Sulphate,USA,Restricted,Controlled Substance,FDA / DEA,"Strong opioid, internationally controlled narcotic",Paracetamol (for mild pain),Carry prescription and medical certificate; declare at customs,FDA / DEA Guidelines,2026-07-20,"Medicine: Morphine. Brand: MST Continus. Generic: Morphine Sulphate. Country: USA. Status: Restricted. Regulation Type: Controlled Substance. Authority: FDA / DEA. Reason: Strong opioid, internationally controlled narcotic. Alternatives: Paracetamol (for mild pain). Traveller Advice: Carry prescription and medical certificate; declare at customs."
Morphine,MST Continus,Morphine Sulphate,UK,Restricted,Controlled Substance,MHRA / Home Office,"Strong opioid, internationally controlled narcotic",Paracetamol (for mild pain),Carry prescription and medical certificate; declare at customs,MHRA / Home Office Guidelines,2026-07-20,"Medicine: Morphine. Brand: MST Continus. Generic: Morphine Sulphate. Country: UK. Status: Restricted. Regulation Type: Controlled Substance. Authority: MHRA / Home Office. Reason: Strong opioid, internationally controlled narcotic. Alternatives: Paracetamol (for mild pain). Traveller Advice: Carry prescription and medical certificate; declare at customs."
Morphine,MST Continus,Morphine Sulphate,Japan,Restricted,Controlled Substance,MHLW,"Strong opioid, internationally controlled narcotic",Paracetamol (for mild pain),Carry prescription and medical certificate; declare at customs,MHLW Guidelines,2026-07-20,"Medicine: Morphine. Brand: MST Continus. Generic: Morphine Sulphate. Country: Japan. Status: Restricted. Regulation Type: Controlled Substance. Authority: MHLW. Reason: Strong opioid, internationally controlled narcotic. Alternatives: Paracetamol (for mild pain). Traveller Advice: Carry prescription and medical certificate; declare at customs."
Morphine,MST Continus,Morphine Sulphate,UAE,Banned,Banned,MOHAP,Strictly banned without prior government approval,Paracetamol (for mild pain),Apply for import permit well in advance,MOHAP Guidelines,2026-07-20,Medicine: Morphine. Brand: MST Continus. Generic: Morphine Sulphate. Country: UAE. Status: Banned. Regulation Type: Banned. Authority: MOHAP. Reason: Strictly banned without prior government approval. Alternatives: Paracetamol (for mild pain). Traveller Advice: Apply for import permit well in advance.
